user_id,week_year,num_ascolti_totali,num_ascolti_artista,artisti_univoci,generi_univoci
5ebb0,2015/41,18,0,11,7
5ebb0,2015/42,29,1,20,10
5ebb0,2015/43,10,0,5,5
5ebb0,2015/44,22,0,21,12
616thirteen,2016/09,9,0,1,1
616thirteen,2016/10,45,0,9,2
616thirteen,2016/11,47,1,17,10
616thirteen,2016/12,31,0,2,2
666Spawn,2009/22,14,0,14,6
666Spawn,2009/23,8,0,3,2
666Spawn,2009/24,12,0,2,1
666Spawn,2009/25,2,0,1,1
666Spawn,2009/26,5,0,2,2
666Spawn,2009/27,14,6,4,2
666Spawn,2009/29,9,0,2,2
666Spawn,2009/37,21,5,3,2
666Spawn,2009/39,25,3,5,3
666Spawn,2009/40,10,0,3,1
666Spawn,2009/53,15,8,4,3
666Spawn,2010/01,3,0,2,2
666Spawn,2010/15,13,2,4,1
66split,2012/07,1,0,1,1
66split,2012/40,16,0,15,7
66split,2012/50,5,0,3,3
66split,2015/28,42,0,30,12
66split,2015/29,114,1,48,14
714076,2011/35,93,1,58,14
714076,2011/36,87,2,72,22
A-K----,2011/15,13,13,1,1
A-K----,2011/21,21,0,1,1
A-K----,2011/22,2,1,2,2
A-K----,2011/30,16,0,2,2
A-K----,2011/31,8,0,2,2
A-K----,2011/32,7,0,2,2
A-K----,2011/37,41,0,2,2
A-K----,2011/38,1,0,1,1
ABSOTiRO,2013/28,1,0,1,1
ABSOTiRO,2013/30,1,0,1,1
ABSOTiRO,2013/37,32,0,24,9
ABSOTiRO,2013/38,39,5,28,13
ABSOTiRO,2013/39,39,0,32,12
ABadDayForJari,2015/46,7,0,5,4
ABadDayForJari,2015/47,2,0,1,1
ABadDayForJari,2015/49,7,0,6,2
ABadDayForJari,2015/50,2,0,2,2
ABadDayForJari,2016/01,30,1,17,8
ABadDayForJari,2016/03,2,0,2,2
ABadDayForJari,2016/05,13,0,2,1
ABadDayForJari,2016/06,10,1,8,5
ABadDayForJari,2016/07,23,0,5,4
ABadDayForJari,2016/10,55,0,26,11
ACrackedSmile,2016/10,66,1,41,11
ACrackedSmile,2016/11,74,0,45,11
ACrackedSmile,2016/12,15,0,15,8
AG-Spike,2016/11,12,1,11,6
AG-Spike,2016/12,92,0,86,30
AJ1AJ,2014/08,77,2,66,30
AJ1AJ,2014/32,11,0,10,8
AJ1AJ,2014/34,21,0,19,12
AJ1AJ,2014/37,6,0,6,5
AJ1AJ,2014/39,14,1,9,7
AJ1AJ,2014/47,2,0,2,2
AJ1AJ,2014/51,17,0,17,9
AJ1AJ,2015/04,2,0,2,2
