user_id,churn,reason
Burtinator,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
BomBadillic,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
samthomsa,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Jimbob3005,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Lulu_Natasha,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
Ashimar,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
sloberingdog,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
laurenw95,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
coheed87,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
hattiebabes,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
lynzyb,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
mikenv,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
theragingkiwi,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
tardispikachu,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
flytopia,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
spiritofjazz,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
mattrocious,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
gunnars18,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
musey84,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
FUNKmillitia,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
NickTuck,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
tomrulez,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
anrky4000,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
Kennethcml,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Ordinary-Monkey,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
red_alan,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
StarstruckAngel,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
BlueDwaggin,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
joshscuse,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
shvandar,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
lovelindsay,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
clockworkpurple,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
Pixaul,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
ghosts-,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
viewfromabridge,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
sarabian,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
AlexDrake,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
pixiebell85,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
OmgDibble,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
sharpy117,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
X_Fayli_X,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Lenatalia,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Brandon-rocks,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Laceyful,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
mudderfupper,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
ffionsgay,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
dwaddington,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
robwellington03,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
Kaeroll,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
jimmywul,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
danshq,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
liamwolf,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
skaneda,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
dreamyourealive,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Renard99,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
langurmonkey,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
PhilSlot,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
jjbeeson,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
laffinnome,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
johnnyyy_rocks,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
MissHelenT,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
isitzain,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
TheBearsome,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
3soTeriC,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
LibraryMatt,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
djcati,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
firked,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Grace_Ox,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
Rissared,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
jonlowndes,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
harris.kirk,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
MattMuse55,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
TayTayRVD,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
carlwalton,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
krispykremes90,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
O8lewisjos,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
dupingdelight,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Matthew66,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Sebastien_SAFC,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
ermmgem,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
mr_x,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Alza_Corp,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
oblet,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
turkystuffing,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
strattyrudge,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
sacko87,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
tuesdayclub,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
666Spawn,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
miss_musey,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Jmoqueen,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
kezzie_p,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Kelvin7,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
RACooperman,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
LilSparkliBunni,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
dAvik42,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
LunarScope,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
PrincessJude,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
metrule89,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
deadstar37,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
StaticVeins,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
CrimsonCheeks27,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
IYW,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
craigy_mac,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
charlycrash,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
LilySparks,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
stupendo,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Thracian,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
CantFoolOwls,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
WizardParadox,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
Noobleton,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Andy_Cliff,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
sunshine1shell,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
peterjamesford,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
jamescram,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Groovurism,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
MisterMouse,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
nathan_face,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
followiill,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
TheRealMez,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
twiggy8520,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
timrickaby,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
penguindan,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
EmiweeHale,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
daniellebeeson,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
