user_id,week_year,num_ascolti_totali,num_ascolti_artista
Brandon-rocks,2011/05,19,0
Brandon-rocks,2011/13,17,0
Brandon-rocks,2011/14,66,26
Brandon-rocks,2011/36,22,22
BrandonCourage,2016/10,22,0
BrandonCourage,2016/11,95,9
BrandonCourage,2016/12,25,2
BrandonCourage,2016/13,4,0
Burtinator,2011/16,13,3
Burtinator,2011/17,2,0
Burtinator,2011/19,5,0
Burtinator,2011/20,12,1
Burtinator,2011/23,3,1
Burtinator,2011/25,14,1
Burtinator,2011/28,9,0
Burtinator,2011/31,70,12
Burtinator,2011/32,23,3
Burtinator,2011/33,10,0
Burtinator,2011/37,7,0
Burtinator,2011/41,3,0
CantFoolOwls,2012/34,61,0
CantFoolOwls,2012/35,71,2
CantFoolOwls,2012/36,22,9
CantFoolOwls,2012/37,1,0
CantFoolOwls,2012/52,4,0
CantFoolOwls,2013/19,4,0
CieleFu,2014/43,33,4
CieleFu,2014/44,14,0
CieleFu,2014/46,14,0
CieleFu,2014/47,4,0
CieleFu,2014/48,10,1
CieleFu,2014/49,25,1
CieleFu,2014/50,20,3
CieleFu,2014/51,12,2
CieleFu,2014/52,6,0
Craig450,2010/16,32,0
Craig450,2010/19,38,2
Craig450,2010/20,44,9
Craig450,2010/21,11,0
Craig450,2010/24,10,0
Craig450,2010/25,4,0
CrimsonCheeks27,2010/11,67,5
CrimsonCheeks27,2010/12,82,7
CrimsonCheeks27,2010/14,14,0
CrimsonCheeks27,2010/15,3,0
Da1e,2011/01,7,1
Da1e,2011/02,23,7
Da1e,2011/03,40,5
Da1e,2011/04,23,8
Da1e,2011/05,5,3
Da1e,2011/06,1,0
Da1e,2011/07,10,0
Da1e,2011/09,3,0
Da1e,2011/29,14,0
Da1e,2011/31,17,0
Daren68,2011/28,75,3
Daren68,2011/29,25,2
Daren68,2011/30,36,2
Daren68,2011/31,12,11
DarthDan,2016/07,1,0
DarthDan,2016/08,44,12
DarthDan,2016/10,4,1
DarthDan,2016/11,116,0
DarthDan,2016/12,15,0
DeanoMachino,2014/01,11,0
DeanoMachino,2014/50,93,5
DeanoMachino,2014/51,11,1
DeanoMachino,2014/52,31,2
DeanoMachino,2015/01,32,3
Deathbyplatypus,2010/30,14,0
Deathbyplatypus,2010/32,15,3
Deathbyplatypus,2011/17,8,0
Deathbyplatypus,2013/37,85,0
Deathbyplatypus,2013/38,16,11
Deathbyplatypus,2013/39,12,0
Deathbyplatypus,2013/42,8,0
Demigod1993,2012/50,42,0
Demigod1993,2012/51,21,0
Demigod1993,2012/52,15,8
Demigod1993,2013/02,69,2
Demigod1993,2013/03,1,0
DiabloLiam1212,2011/32,11,1
DiabloLiam1212,2011/33,6,0
DiabloLiam1212,2011/36,1,0
DiabloLiam1212,2011/41,26,0
DiabloLiam1212,2011/42,5,0
