user_id,degree_initial_network
Rachwins,39
Bishmanrock,23
noiseattack,89
krands,74
hdj-fm,11
piratepegleg95,2
DropDead69,40
nafelyons,9
hepziirae,8
OhVogueVintage,17
staigscrane,8
RabidSquirrel2,40
ishwoo,28
Kavey,13
MuffinsFTW,35
dementedflea46,8
fargh,14
racheroo30,24
Nic4182,11
pharoah3000,19
gregbob,11
infinity3333,29
nurulaw,164
calebski,15
Hells-Vengeance,39
danger_loucks,16
Denzeel,103
CFuller763,156
ubrain,24
oleuk,19
papaindigogolf,2
jonezzy,102
feek0r,6
JackFreeman,39
computergeek836,90
MillionKnives,2
irinel_voinea,69
kathryn_conn,1
scaphane,13
Ginjones,7
sunsettglow,10
Amberiine,3
jcanning666,5
AdzybabyII,45
boobookittyfcuk,104
EleMG,16
Oliveeeeeeeeer,237
amyiscooldude,17
simon_andrew,23
jiroclothing,1
blitzalchemist,2
Ffs_Pat,11
noisestar,15
doublenegative,17
matthewyorke,23
Vivian_O,48
deewzed,5
lifelovephotos,8
a74nh,22
Jayne29,5
EthanBarsdell,10
jonburgerman,109
xXDaNNyRaWrrXx,5
price84,15
price86,8
superandyrooo,30
loonylandslide,35
Tazthefaghunter,106
ashman108,17
njc707,47
juliohobbs,18
okbabylol,383
andersonv1,16
Waterloo_xx,78
aaalex555,34
elfward,29
owlsexceptatsea,71
fiend_fatale,3
ericaleigh91,160
mcfly_1991,18
Quibble_88,41
katylovescoffee,8
sophaayyy,14
sexybeast-123,177
louise483,30
Wemsil,2
titymctiterson,17
DanielleMcG,17
alexbicheno,3
Leigh-Anniaa,17
Fenix182,21
atreyu_ben,80
Kangmiester,3
benwood44,2
Cellism,18
mistymountain,10
Genevieveer,9
MildlyEccentric,18
HawkeVIPER,99
diamondlittle1,1
deywas,18
noobut,26
martybell,2
seph_hazard,51
Arkady,20
TheGimpMan,6
alexabrittain,9
OMFGitsRhys,19
Teatania,28
jelly1234,8
khalifaboy,50
JamieDrama,146
__aficianado,30
magicpocket,709
AmyyyJane,3
Gingo100,13
brulafu,5
snellios,100
anton_harlow,75
lucyclare,47
Seb-DW,9
lydiathepixie,13
benabbott_htafc,38
Djjese,3
phuckinhell,53
x__gunsgobang,22
jamie_woodhouse,23
Foley67,61
ZarakiDan,4
Astharis,19
opalyn,22
lykoszine,6
RandomGuy93,6
vermilliona,34
Flare68,35
weneedfood,22
LilTommyFtw,13
Fauxy2007,7
puwit,4
RoscoMck,5
davidneurotic,62
jamesdesp,19
alexbloomer,1
mighty-maus,9
squirel1975,8
parekhd,7
dazmanic,6
timalexmartin,12
gorsefan,48
EtotheC,19
yukselll,48
RickyWsID1OT,5
bazzalee,7
CYANIDE_13,64
pomico,15
Joe_McFarlane,41
smallzie97,9
SH1V3R,41
YoungParisian,14
rofenstein,26
ShieldsLad,3
camers,28
feck111,7
boxfreshbritish,16
ali_of_donnelly,13
jrisgod,95
stuarthallifax,28
adebond,3
elliottq,3
mmmclunge,32
kyspykes,22
hannorspannor,7
elmelodico,97
juppin9,1
DarrenStenhouse,5
craigtmackenzie,43
velvetbird,41
narcissist1986,23
stoopid79,41
MepsiPax187,51
andih72,12
zynebz,140
BradleeComer,3
wassonthen,4
wookieewookz,1
blobert11,2
gl0w0rm,39
chapterthree,12
ChrisVanity,12
CrypticWritings,35
ElectroPie,99
sanitystricken,24
kizmoz,6
lucysayshey,1
jimst3r,9
Thealeoenchen,22
simonmeacham,2
Paaaaaul,12
newbornbliss,6
amy2790,310
alexanderwendt,26
judge_john,2
Turnado,71
packetst0rm,100
ade18,7
celine_sunshine,24
OnBetamax,26
dizero,19
angelsk,24
pinkmini,38
NNNGH,15
BatmanAnderson,7
Nahthenlad,6
alistairbeith,26
Totti_is_god,34
AlexWooP,41
KOAM,9
sidcupSalty,25
jarvo86,19
jamesagw,5
allybabyy,32
goshhvin,108
robertjepson,35
mattio_d,17
miketeagle,17
xleannee,9
cjlines,95
invisiblerain,695
