user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci
2HB,128,0,5,0,74,26
2bitter-being6,79,0,3,0,57,17
2bitwannabe,96,0,8,0,62,21
2k6lee2k6,182,0,11,0,149,26
2key,125,0,3,0,39,16
2manybjs,12,0,3,0,3,3
2manysparkles,141,0,15,0,52,24
2moo2u,134,0,4,0,90,27
2ndimpression,148,0,4,0,119,35
2ndsight,147,0,24,0,87,23
2plus2isfive,75,0,12,0,28,12
2plus2isjoe,78,0,4,0,36,17
2x4,165,0,4,0,69,39
30Heartaches,95,0,1,0,28,13
3105,96,0,4,0,56,20
331a,140,0,10,0,31,18
37sac,110,0,3,0,47,8
391,169,0,2,0,95,31
3DiT,28,0,4,0,21,8
3J3CT4,85,0,5,0,57,17
3MinuteWarning,183,0,8,0,42,15
3RetroXCUPCAKE,176,0,1,0,4,3
3coxy4,158,0,3,0,45,17
3daysrock,124,0,4,0,81,25
3dcandy,103,0,12,0,41,15
3dchris89,169,0,12,0,120,26
3dgimp,155,0,6,0,115,45
3eb_fan_uk,171,0,4,0,49,28
3en,52,0,1,0,38,20
3inch_horses,141,0,10,0,41,12
3mkay,163,2,7,2,85,23
3o-seconds-,167,0,2,0,43,17
3peterhoyles,149,0,21,0,29,10
3pm,199,0,7,0,16,10
3point1four,133,0,6,0,71,25
3quin0x,6,0,2,0,6,4
3soTeriC,170,16,24,5,88,23
3stripe,162,0,4,0,110,40
3wisemonkeys,170,0,11,0,48,20
400boys,174,0,17,0,59,18
404wibbs,161,0,3,0,125,41
40Bicycles,108,0,2,0,7,2
41tomS,152,5,8,2,46,13
42gillian,155,1,18,1,127,39
456chris,184,0,3,0,67,22
462,131,0,2,0,15,10
4823,129,1,7,1,94,36
4861m,140,0,12,0,57,22
48KAY,93,0,8,0,84,22
4D,166,0,2,0,63,27
4Heather,155,0,16,0,29,11
4Satin,168,0,5,0,108,32
4ash,60,0,5,0,8,8
4dam,158,0,3,0,118,32
4dayweekend,90,1,2,1,47,18
4dsisnotmusic,132,0,8,0,68,30
4everdesign,170,0,5,0,144,38
4eyedmidget,132,0,9,0,74,41
4klovepoker,163,0,5,0,87,23
4lun,140,0,4,0,68,27
4ntarctic,161,0,9,0,36,17
4pixels,144,0,6,0,31,16
4play,188,0,5,0,80,25
5318008,1,0,1,0,1,1
53k0nd,153,0,11,0,111,38
5500,189,0,2,0,144,34
555grun666,98,0,3,0,31,13
5AsHlEy5,103,0,3,0,20,11
5Lighters,162,0,1,0,142,38
5M177Y,188,0,2,0,15,13
5_card_draw,118,0,6,0,30,18
5centtheatre,90,0,15,0,55,19
5ebb0,164,1,6,1,101,41
5hiny,172,0,4,0,8,5
5hours,173,0,8,0,44,16
60ten,146,0,3,0,48,26
616thirteen,132,1,4,1,29,12
666JON666,132,0,5,0,75,21
666Spawn,151,24,13,5,38,11
666TinCan666,112,0,8,0,26,9
66split,178,1,5,1,87,22
66z,105,0,13,0,19,7
69dude,119,0,2,0,36,17
6isaacj,151,0,6,0,27,14
6kcasio,88,0,13,0,19,6
6park,150,0,4,0,63,17
714076,180,3,2,2,113,27
72skippy72,166,0,4,0,36,17
73retrovertigo,163,0,7,0,42,18
752,172,0,6,0,86,37
76ross,167,0,6,0,66,25
78apples,154,0,6,0,42,20
7and7is,102,0,2,0,51,17
7helix7,146,0,7,0,118,36
7hrasher,75,0,13,0,43,15
7motty,96,0,11,0,28,19
7thTheory,176,0,2,0,22,18
808mil,141,0,7,0,88,16
80sfan,178,0,4,0,67,15
80sguy,148,0,3,0,101,33
829__undecided,70,0,3,0,48,16
8333696,168,0,1,0,91,40
