user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci
Angharad12,147,1,1,1,33,10
Angiefinan,172,1,9,1,85,20
AniLottie,158,2,5,1,101,26
Anima18,177,3,1,1,85,13
AnimaRising,152,1,12,1,77,25
Anima_Morte,130,48,3,2,9,4
Anime-Reality,184,2,5,2,109,19
Anna-Joe,170,1,9,1,96,25
AnnabelK85,125,7,17,1,51,23
Annar__,135,5,12,1,88,26
AnnekaWOO,167,1,2,1,118,26
Annierak,143,1,3,1,105,33
Annmariexcrisis,164,1,3,1,130,43
AntAllen,167,1,10,1,102,33
AntZiie,137,1,6,1,23,12
AntigoneBastin,57,2,9,2,51,16
AppleGrass,87,6,3,1,55,17
AriesMytho,102,1,11,1,76,20
Arr0n,145,1,7,1,104,27
Arri,122,2,5,2,81,20
Arron17,168,1,5,1,139,37
ArronY,123,1,3,1,34,9
Artah,137,2,8,2,73,26
Artsybury,60,3,5,1,13,6
Ash1592,143,1,5,1,20,8
Ash568,144,10,9,3,43,19
AshDM,126,2,11,2,71,29
AshDowie,141,1,2,1,48,20
Ashimar,143,18,15,15,38,12
Ashl2708,143,23,3,1,52,19
AshleighJane88,87,3,1,1,18,9
Ashleighb3000,161,1,7,1,67,21
AshleyCuco,142,1,9,1,85,26
Ashlolz,164,7,1,1,23,10
Ashman_87,190,1,13,1,122,36
Ashudson,165,4,3,1,122,21
Askari--,149,4,4,3,94,24
Assasin_,177,4,2,2,109,24
AssassinErased,140,7,3,1,53,16
Assegai_Dev,116,1,10,1,16,11
Astron_Y,144,1,8,1,115,38
Astronomer1971,167,4,2,2,81,25
AtTheBar,131,1,14,1,85,28
Ataromani,157,2,3,2,84,15
AtomAiden,135,1,3,1,65,22
AudaUK,169,37,5,1,70,31
AudioAlysis,42,1,5,1,31,6
Audiocratic,57,4,3,2,45,24
Auntie-Soph,134,3,7,3,71,18
AuntieP69,45,2,7,2,37,11
Auraphile,183,3,5,1,31,17
Aurora7804,169,15,6,2,89,26
Autola,172,1,11,1,127,34
Av-larrr,91,4,7,1,40,14
AvaSatanas,164,1,10,1,134,44
Awaiz,54,11,7,1,26,13
Ayeffen,166,3,11,1,85,26
Ayriss,149,1,11,1,76,24
Azurlune,178,6,7,4,73,20
AzzaEFC,167,1,6,1,138,32
Azzarock,114,1,5,1,40,14
B0ngi,37,2,5,2,22,14
B3nders,130,1,2,1,42,18
BAFfan,156,1,12,1,73,19
BBE_Psycho,170,2,2,2,125,33
BCMM,148,1,12,1,30,12
BENecol,176,15,11,4,54,21
BETHtbh,78,13,3,1,21,11
BEllis182,140,1,2,1,97,20
BFCPaddy,134,4,4,2,66,14
BLACKHEARTKBD,167,1,6,1,58,27
BM128,167,6,2,1,48,14
BOB2288,150,1,16,1,114,18
BPhlipRock,169,6,5,5,102,26
BTZiltch,174,1,5,1,96,28
BUCKAROO74,174,2,12,2,119,21
BWFC92,175,1,9,1,83,30
B_L_Cooper,122,1,3,1,107,33
BabaOCasey,144,4,4,2,73,25
Babapixie,179,2,2,1,120,33
Baby-Shark,119,3,6,2,63,26
Bagerswell,108,2,4,2,36,19
Bagfran,123,1,4,1,95,20
Bags666,179,21,2,1,9,4
BaileyJoshua,120,7,6,1,15,4
Baines93,109,1,2,1,93,42
Bakergtr,123,1,2,1,109,29
Baldarnold,132,1,6,1,113,31
BalloonaticFan,110,2,2,1,58,17
Balonia_,86,1,2,1,29,9
Bambi2803,124,25,5,1,14,9
BambiTheVamp,136,2,4,2,97,31
Bananatoon,107,1,12,1,68,19
BareGrizzlyBear,151,1,15,1,90,26
Baron_Benny,137,1,10,1,59,17
BasilBrush,174,1,1,1,60,20
BassHead,189,1,4,1,107,35
Batley,130,9,15,1,45,13
BatmanAnderson,128,1,13,1,96,23
Battery_baby,107,12,7,5,40,12
Bay-Kwon,138,1,6,1,92,33
Bb_twatface,99,1,5,1,68,15
BeMyEscape_,120,2,4,1,54,15
BeardedTom,164,3,11,1,61,19
Beautiful-Cabal,102,1,10,1,91,35
Beautiful-Day,173,2,4,1,43,12
BeautyQueenMars,99,1,5,1,46,11
BeccaDance09,152,1,2,1,62,10
BeccaKing,189,12,2,1,55,19
BeccaPop94,126,1,11,1,58,17
Becca_17,155,1,5,1,89,26
Becca_Rigby,193,1,3,1,23,13
Beccamplified,183,7,6,5,123,35
BeckeeIsCool,129,2,7,1,34,10
Beckiemeister,147,3,11,2,103,22
BeckyMUK,177,9,2,1,42,12
Becs11,99,3,3,1,48,21
Beebe,153,2,6,2,55,16
BeerGuru,173,1,2,1,112,37
Beetlebum182,146,1,8,1,72,23
Behelzebub,176,1,32,1,130,35
BellaFaraway,80,3,6,1,46,7
Belloqs_Ghost,101,4,4,1,29,16
Bels1414,145,5,10,2,95,40
Beltons,92,1,2,1,8,4
BemusedOwl,60,1,11,1,38,17
BenCanFlyy,152,2,2,2,35,17
BenLarkin,115,1,1,1,35,16
Ben_Collier,144,1,3,1,100,35
Benford89,152,1,10,1,91,27
Benjamin2040,170,1,8,1,32,17
Benjamonyates,159,1,12,1,86,23
Benneh87,177,12,6,1,21,12
Bennington_Hahn,99,1,2,1,18,9
Bennosaur,147,1,10,1,52,20
Bennylove,134,1,3,1,113,39
Bennywade,186,2,1,1,143,39
Benomatic,174,2,14,2,106,24
Benp23,59,1,5,1,30,13
BensHaynes,163,1,6,1,76,18
Benson93,137,3,3,1,41,18
Bentheimmortal,150,1,8,1,99,38
Benzjamminx,150,1,5,1,59,23
Beowulf1970,166,1,3,1,114,26
BernieMcB,160,3,10,2,82,15
Best_In_Town19,176,1,5,1,92,32
BethMassey,134,2,11,2,81,22
BethTomlinson,134,22,10,3,63,23
Bethell726,140,1,20,1,82,32
Bethiexc0re,164,1,12,1,102,29
Bethyboo11,133,1,7,1,76,14
Bethyrs,146,9,3,2,69,26
Bettsy1970,158,5,22,2,83,29
BeyondCognition,136,1,7,1,89,34
Biddle127,158,10,9,2,85,24
Biffabecky,154,1,4,1,75,27
Big-Star,121,1,11,1,73,21
BigDaddyDale,91,1,9,1,59,25
BigDim,194,1,3,1,89,27
Big_Tom,149,1,6,1,31,15
BiggieEllefson,175,3,2,1,105,29
BillyBoy182,161,4,3,1,97,26
BillyKyo,139,5,5,4,89,31
Billy_Boyd,78,2,20,2,35,18
BinaryMonkey01,149,4,9,2,123,41
BinaryMoon,101,5,5,2,28,12
BinarySlave,140,1,3,1,18,5
Binnington,160,3,2,1,128,36
Birdeatsbaby,175,4,9,4,65,31
Birds_of_storm,160,2,2,1,93,34
Birdy19,158,1,6,1,48,15
BitterMan,167,4,2,2,74,20
Black-Valve,109,1,7,1,76,21
BlackAlphaVille,187,1,3,1,110,42
BlackCougar,131,1,4,1,91,26
BlackEel,152,2,4,2,116,26
BlackRaven666,138,1,21,1,71,27
Black_Apalachi,127,2,11,2,48,17
Blackened__,133,2,7,1,50,21
Blackout_85,82,2,5,2,62,18
Blacksteel,145,3,14,2,101,32
BlackwoodDragon,182,1,5,1,117,28
Blade404,121,1,7,1,82,25
Bladerunner99,127,2,6,1,92,36
Blaise69,301,1,6,1,184,60
BlastThatBeat,151,3,2,2,104,33
BlastThemAway,177,2,3,2,125,33
BlazeEternia,190,1,2,1,20,7
BleydhTaran,152,3,3,1,67,25
Bli33ard,146,4,6,2,106,36
BlissAbsolution,149,7,8,1,42,15
Blissical,104,2,5,1,61,19
Bloc4,146,1,4,1,68,24
Blocoholi,119,1,2,1,75,27
BloodRedOrchid,109,2,7,1,54,21
BloodyBitch,148,2,7,2,85,22
Blue-Hour,126,1,13,1,68,21
Blue-Jan,156,1,4,1,114,27
BlueDave,167,1,3,1,64,24
BlueDwaggin,156,24,5,4,30,14
BlueRyuk,178,2,2,1,89,41
Blue_Amazon,173,3,5,1,37,13
BluebirdChels,136,4,2,2,67,14
Bluejoh,142,2,7,1,102,42
Blueleafx,56,1,2,1,34,15
Bluevolvic,149,1,9,1,108,30
Blurgirl4life,94,3,6,1,50,19
Bob-sandwich,129,13,14,4,23,6
Bobbyroana,138,22,7,4,29,15
Bobbyrooney,75,10,4,1,6,2
Bobchinski,114,1,2,1,78,42
Boileroom,139,2,13,1,93,26
BolaJA,48,5,4,2,33,13
BomBadillic,150,10,4,2,83,26
Bonafido,191,7,3,2,57,12
Bonejesta,107,2,8,2,48,14
Boneloner,165,1,14,1,67,22
BonitaJ,176,1,2,1,102,33
BooooooooB,110,3,6,1,60,17
Booshface,162,2,6,2,77,22
Boreamor,95,1,6,1,23,11
Borellus,141,18,6,2,90,29
Bose-Man,167,1,3,1,140,27
BothwellX,93,2,4,1,59,23
Bowch,138,1,20,1,110,26
Bowlski,149,1,12,1,96,25
BoyWhoSings,65,1,13,1,33,15
Bradderz182,143,1,8,1,91,27
Bradyation,148,23,4,1,52,21
Brainbox14,110,8,1,1,58,28
Brainiac96X,166,4,14,3,110,35
Brammy,164,2,6,1,106,36
Brandon-rocks,135,48,5,2,17,10
BrandonCourage,146,11,4,2,17,10
Breathe_Music,135,1,16,1,108,24
Bren_D,148,3,9,2,96,24
BrianMayEye,166,1,14,1,74,32
Bridz,157,3,3,3,92,30
BritHopeless,69,1,2,1,16,12
BritPoppy,81,1,11,1,53,16
Britt7094,129,2,2,1,88,31
BrittainB,107,1,3,1,37,19
BrokenPolaroid,123,4,9,2,68,26
BrokenWings6,127,1,22,1,56,17
BrotherJohnx,104,16,3,1,26,15
BrowneAlex,138,24,2,2,27,17
Bugpoo,136,3,6,1,40,16
BukasFriend,187,1,5,1,129,38
BulchyC,131,3,7,2,85,33
Buncles,80,1,4,1,19,11
Burningbandit,131,41,3,1,27,15
Burnio,58,3,9,2,18,11
BurstIntoFlames,177,2,8,2,135,33
Burtinator,171,21,12,6,47,16
Butterfly_Edge,185,12,3,1,24,7
Byjahn,149,1,7,1,70,20
ByrneTofferings,133,1,12,1,66,24
C4DD4,160,1,2,1,77,24
CCThomson,142,1,2,1,73,34
CChilstoneV1,166,1,1,1,91,21
CFCantLee,178,2,4,1,130,38
CFChef,179,15,6,1,47,17
CHAOSROADSHOW,109,1,7,1,96,24
CJGore,139,1,6,1,80,23
CJ_Heap,93,1,3,1,35,17
CMoosey,134,1,2,1,75,25
CReilly89,181,3,2,2,116,27
CSBrightside,181,4,2,1,102,28
CTML,160,2,12,1,123,39
CWT1965,43,1,2,1,35,9
Cabe6403,155,1,14,1,19,10
Cablamus,166,3,16,2,75,27
Cacophonaut,159,2,2,1,40,13
Calaqua,147,1,2,1,29,8
Caldecott2008,140,1,2,1,91,36
CallG,151,10,7,1,46,17
Calliban,95,1,3,1,54,20
CallieFreeman,103,1,11,1,80,22
Callofthewild,128,4,4,1,25,9
CallumOnfire,174,9,1,1,95,28
CallumU,177,1,3,1,85,32
Calorine_blod,109,3,13,2,79,17
CammyRoxburgh,126,5,5,1,26,10
Camundingo,163,1,5,1,103,23
Camziez,147,1,4,1,108,42
Candi_Cane_,166,1,4,1,71,15
CandyLea,165,10,3,1,73,22
CantFoolOwls,163,11,6,2,58,16
CapnDred,120,2,4,2,83,28
CapnRaccoon,135,1,7,1,87,23
CaptOutrageous,117,1,8,1,40,15
CaptainDismay,191,83,2,2,13,8
CaptainMongoose,143,9,11,2,23,10
CaptainRah,121,1,11,1,72,22
Captain_Jazz,127,1,2,1,48,18
Captain_baz,132,1,4,1,70,24
CaraRAWR,121,5,8,4,64,15
Caraxox,66,3,9,1,37,12
Carcer_1337,173,3,2,2,52,18
Carcogenic,165,1,6,1,137,44
CarlAMUK,126,1,6,1,31,9
CarlaVengeance,139,1,4,1,40,11
CarlieCakeywalk,176,2,4,1,119,32
Carlos2493,124,2,6,1,39,10
CarlosFandangos,122,8,4,2,22,5
Carmenego,96,1,5,1,49,23
CarnyKid93,165,1,12,1,86,20
CaroBob,109,1,4,1,89,20
Carree-x,100,2,19,2,25,11
Cartoonhead86,113,1,10,1,79,14
CarynMolloy,109,8,14,3,69,24
CasanovaLament,171,2,2,2,65,26
Cassyshield,143,4,9,3,98,24
CatFromJapan,155,2,15,2,69,26
CatOnMyFace,138,7,5,3,79,21
CatPeopleFire,105,1,12,1,45,12
Cathereeene,152,7,8,4,91,22
Catmafia,130,2,3,1,86,26
Catster,102,1,2,1,86,25
Catt312,124,2,3,1,23,5
Caulls,154,1,7,1,95,33
Cazquatch,164,1,1,1,94,34
CeeCeee,133,1,7,1,89,29
CelticRose_,105,3,3,2,75,28
Cericooper89,154,1,7,1,81,28
CerysCole95,101,1,11,1,85,20
Cesi,126,1,4,1,66,21
ChAzAb,171,2,8,2,91,28
Chaddy10,169,9,6,2,95,21
Chakkums,131,8,2,1,43,17
Chance_McGunn,156,8,6,2,101,33
Changlesbick,169,1,1,1,120,33
Chantel13,135,6,7,1,44,21
ChaosDragon,83,1,3,1,33,15
ChaosNinjat,118,3,5,1,53,18
ChaosPrime,71,1,15,1,21,11
ChaoticDictator,105,1,6,1,76,25
CharBromby,120,1,9,1,51,19
Charlala20,160,1,6,1,50,16
Charlatron,131,1,4,1,86,35
CharleyDvnprt,170,1,20,1,123,36
Charli__,122,1,8,1,39,15
CharlieHowle,124,3,7,3,73,30
CharlieTyrell,143,6,2,2,56,18
Charlie_Anne,152,11,7,1,110,26
Charlie_Chavlin,190,1,7,1,47,15
Charlie_Spotted,183,1,12,1,38,10
Charlie_h,153,1,3,1,81,19
Charlokylie,109,8,8,1,21,6
Charlotte208,132,4,3,2,43,14
Charlotte391,84,2,6,2,27,15
Charlottemills9,168,1,4,1,92,35
Charonicus,173,2,2,2,93,17
Charry,62,5,10,2,54,21
Chasethebase,139,4,9,4,48,15
ChasinStarlight,67,3,4,2,35,12
ChaslieDott,140,3,2,1,50,19
ChazBolton,155,1,6,1,103,40
ChazDer,122,6,2,1,69,19
Cheedle,94,1,3,1,66,22
CheekyBoy,76,3,4,2,39,15
CheekyEdwards,159,2,4,1,74,30
Cheesebeau,144,1,7,1,67,22
Cheezykins,133,14,3,1,48,21
Chelloalexandra,144,1,4,1,82,28
ChellyTots,168,1,5,1,91,30
Chemmo,129,1,13,1,37,11
Cherrycolalove,120,11,7,3,49,18
Chi_baby,188,2,3,1,160,33
Chii_xo,95,1,2,1,40,12
Chilininja,93,4,5,1,64,24
Chilled-Lemon,150,2,9,1,67,20
ChilliCon,114,1,6,1,36,16
Chimericsoul,154,3,19,2,47,17
Chinadoll_x,36,1,1,1,10,5
ChipmonkQueen,139,1,6,1,16,10
Chipoff,155,3,6,2,61,18
Chloeelou132,136,1,2,1,73,15
Chocojake93,141,1,11,1,106,26
ChrisTaylor,157,2,4,1,47,13
ChrisWaller,158,14,2,2,74,31
ChrissieRaa,108,1,8,1,91,23
Christ-I-Am,171,2,2,1,76,30
Christie_o,135,1,7,1,86,20
ChristophJ,155,4,8,1,16,6
ChristyJade,177,16,13,1,70,22
Chuggernaught,165,1,5,1,50,20
ChumbaWumba91,139,5,8,1,59,27
Chupee13,140,23,12,1,47,24
CiaraaLaa,131,1,9,1,81,21
Ciaran1919,66,2,3,2,33,13
Ciarizzle,171,1,1,1,53,12
CieleFu,138,11,9,5,69,25
Cinammon,166,13,3,2,108,33
Cipher2112,125,13,7,1,37,12
Circlecircus,174,2,9,2,90,28
CirqueMachine,141,1,12,1,78,22
CitizenErased__,100,14,2,1,4,2
CitizenKnight85,124,2,13,1,21,8
Citizenpaul,154,2,10,1,23,6
CityOfDoors,182,1,1,1,138,34
Clairejamin,83,1,4,1,35,15
Clairelinaire,183,3,2,1,109,27
Clankcat,125,9,12,5,46,11
Clare89,101,1,9,1,67,20
ClareLGI,109,1,5,1,59,27
Clarkey4boro,131,3,6,2,67,25
Claud756,166,1,6,1,99,32
Claudia20,157,1,9,1,88,24
Claudiar71,95,1,5,1,42,15
Claum,147,1,6,1,46,13
ClaviusK,180,2,9,2,129,39
Claz,167,16,7,1,42,13
Clements-,58,1,6,1,26,16
CleverBzz,149,14,2,2,62,19
CloDeNiro,174,2,5,1,101,29
Clocks91,170,1,8,1,110,27
CloneMaster,183,2,5,2,71,25
Cloud-Ashbolt,119,3,5,1,88,23
Cloud__Nine,139,1,10,1,64,15
Cloudburster,150,3,3,2,85,17
CloverWhite,148,4,10,2,123,36
Coe1ho,185,3,4,2,90,18
CoffeeBlack01,114,2,12,1,43,16
Colin1988,86,1,13,1,36,18
ColinGrieve,108,1,16,1,27,7
ColinHQ,109,1,18,1,51,17
ColinWhiteside,172,1,3,1,81,27
Collins1990,167,1,11,1,54,25
Colonel_Mole,73,2,10,1,17,9
ColourCodedRed,133,2,3,1,70,22
Combatter,177,1,5,1,36,20
Comichood,91,2,5,2,60,20
Concentrical,109,1,3,1,33,12
Conniella,147,1,11,1,87,22
ConorChameleon,81,1,6,1,74,17
ConquerorKenny,180,3,6,1,33,13
Contempt_,145,1,6,1,86,26
Cookiedalcroy,146,4,10,3,105,42
CookiesAndJava,156,3,2,2,140,41
CoolFunkMan,129,3,9,2,29,11
CoopsieK,131,1,4,1,102,28
Cops-AndRobbers,50,2,3,1,9,4
Corbienator,105,2,19,2,37,21
Cornesto,163,1,7,1,43,17
Corrie_Jay,148,1,18,1,70,22
Cou,134,1,4,1,75,26
CountJizzula,103,1,5,1,23,13
CounterZER0,143,1,14,1,99,29
CourtneyClarke0,136,7,2,1,20,9
Coxickle,139,3,11,3,77,22
Coyerre,127,1,6,1,33,18
CoyoteExport,62,1,11,1,20,8
CptBongo,163,1,3,1,86,20
Cradle_Dani,141,1,7,1,21,12
Craeny,150,1,7,1,66,22
Craig2417,158,1,7,1,57,23
Craig450,139,11,6,2,44,11
CraigVil,174,1,7,1,80,22
Craigthegreat,179,1,2,1,87,27
Cranf,168,1,19,1,52,12
CrativeG,164,1,9,1,74,31
CrazyK1tten,77,1,2,1,38,16
CrazyLyra,176,2,6,2,88,21
Crazyclur,142,3,6,2,73,30
CreamCrazy,172,1,5,1,115,34
CrimsonCheeks27,166,12,4,2,77,30
Cronin101,86,1,8,1,44,21
Crosswaite,125,1,3,1,53,21
CrowdSurge,181,4,3,1,103,18
CrumpetHelz,186,1,3,1,134,32
CrunchbiteJr,132,1,3,1,56,23
Crussel0,112,21,4,1,42,16
Crustclock,154,1,2,1,23,16
CryForTheMoon01,99,1,8,1,44,18
CrypticWritings,136,2,10,1,50,20
CrystalBerry,101,1,4,1,87,33
CuNim,180,1,12,1,60,25
CuPcAkE-x-x,107,2,5,2,36,13
CubixReubs,143,7,10,1,63,26
CuddlyManda,112,5,5,1,35,15
Cueball,168,1,15,1,151,32
CueballUK,96,1,20,1,54,28
CurrySer,185,2,10,2,50,18
Cutupangel88,141,1,19,1,87,20
Cyammich,153,20,7,1,14,6
CyberHawk,104,1,22,1,32,10
CyberMunchkin,194,1,2,1,48,20
Cyber_Girl666,142,2,3,1,56,23
D-B-M,165,2,13,1,52,26
D3xtrous,110,3,19,2,27,16
D911Gt3Rs,111,1,2,1,83,29
DAISYYDUKE,113,3,2,1,65,27
DANGERZONEpaul,166,9,16,1,47,21
DBTACDC,165,4,12,2,98,26
DDR78,143,2,6,2,81,31
DDuckstar,106,14,13,1,44,17
DENZEL89,118,1,2,1,97,24
DIMPLEDOO2003,139,1,15,1,67,17
DJ-Xenobia,92,2,8,1,65,31
DJBaku,124,1,4,1,49,14
DJCPUG,96,2,9,2,65,16
DJDearest,170,1,6,1,92,35
DJDonegal,157,2,7,2,115,30
DJJ1,131,1,12,1,27,10
DJNikki,120,1,2,1,79,33
DJSlayer,131,1,1,1,46,17
DJ_Priss,105,1,9,1,41,20
DJ_Subliminal,176,1,2,1,51,18
DJepicenter,158,2,2,1,95,27
