user_id,num_ascolti_totali,settimane_totali,artisti_univoci,generi_univoci,indie rock,rock,pop,metal,electronic,hip pop,indie,r&b,punk,folk,altro
1Spork,123,2,76.0,28.0,0.02,0.15,0.02,0.02,0.12,0.0,0.0,0.04,0.01,0.0,0.63
1jgraham,167,2,20.0,15.0,0.1,0.05,0.31,0.0,0.0,0.0,0.11,0.05,0.0,0.18,0.2
1side0,142,5,36.0,18.0,0.05,0.52,0.01,0.01,0.01,0.0,0.05,0.0,0.01,0.01,0.34
1tripz1,136,2,24.0,13.0,0.0,0.01,0.0,0.63,0.12,0.0,0.0,0.0,0.0,0.0,0.24
200percent,123,2,60.0,27.0,0.05,0.26,0.15,0.0,0.1,0.0,0.02,0.0,0.02,0.16,0.24
20thCenturyGirl,183,8,41.0,25.0,0.04,0.42,0.13,0.0,0.08,0.0,0.0,0.09,0.0,0.01,0.22
23Daves,65,3,45.0,20.0,0.03,0.42,0.15,0.0,0.18,0.0,0.0,0.0,0.06,0.02,0.14
26069039,144,3,107.0,36.0,0.04,0.36,0.19,0.0,0.03,0.0,0.03,0.03,0.0,0.05,0.26
27kg,173,12,77.0,25.0,0.0,0.48,0.01,0.21,0.01,0.0,0.0,0.0,0.07,0.0,0.23
2AmcD7,103,8,71.0,26.0,0.02,0.22,0.04,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.66
2Gns,123,3,29.0,12.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.59
2HB,128,5,74.0,26.0,0.01,0.17,0.31,0.0,0.08,0.0,0.0,0.03,0.01,0.0,0.39
2x4,165,4,69.0,39.0,0.1,0.18,0.07,0.03,0.03,0.0,0.04,0.03,0.01,0.07,0.44
30Heartaches,95,1,28.0,13.0,0.33,0.12,0.32,0.0,0.08,0.0,0.0,0.0,0.02,0.01,0.13
3105,96,4,56.0,20.0,0.03,0.18,0.24,0.05,0.0,0.0,0.0,0.03,0.07,0.0,0.4
331a,140,10,31.0,18.0,0.19,0.29,0.01,0.0,0.01,0.0,0.1,0.01,0.01,0.09,0.28
391,169,2,95.0,31.0,0.01,0.25,0.12,0.0,0.03,0.0,0.02,0.0,0.04,0.17,0.36
3J3CT4,85,5,57.0,17.0,0.0,0.38,0.02,0.04,0.02,0.0,0.0,0.01,0.19,0.0,0.34
3coxy4,158,3,45.0,17.0,0.29,0.18,0.11,0.0,0.05,0.0,0.13,0.0,0.03,0.16,0.04
3dcandy,103,12,41.0,15.0,0.0,0.07,0.1,0.04,0.57,0.0,0.0,0.0,0.0,0.0,0.22
3dgimp,155,6,115.0,45.0,0.01,0.12,0.1,0.02,0.06,0.0,0.01,0.02,0.01,0.05,0.61
3eb_fan_uk,171,4,49.0,28.0,0.01,0.18,0.05,0.09,0.0,0.0,0.0,0.01,0.09,0.01,0.57
3en,52,1,38.0,20.0,0.06,0.0,0.15,0.06,0.27,0.0,0.08,0.02,0.0,0.02,0.35
3o-seconds-,167,2,43.0,17.0,0.0,0.37,0.03,0.0,0.23,0.0,0.0,0.0,0.08,0.04,0.24
3stripe,162,4,110.0,40.0,0.04,0.06,0.22,0.0,0.15,0.0,0.06,0.0,0.02,0.06,0.4
404wibbs,161,3,125.0,41.0,0.01,0.09,0.12,0.0,0.2,0.0,0.01,0.04,0.01,0.06,0.46
4D,166,2,63.0,27.0,0.01,0.13,0.07,0.0,0.17,0.0,0.0,0.0,0.03,0.0,0.58
4dam,158,3,118.0,32.0,0.05,0.13,0.11,0.0,0.09,0.0,0.03,0.06,0.0,0.03,0.5
4eyedmidget,132,9,74.0,41.0,0.08,0.39,0.14,0.01,0.02,0.0,0.04,0.02,0.0,0.07,0.23
4lun,140,4,68.0,27.0,0.03,0.24,0.02,0.01,0.14,0.0,0.02,0.0,0.01,0.0,0.52
4ntarctic,161,9,36.0,17.0,0.0,0.42,0.16,0.01,0.02,0.0,0.02,0.0,0.04,0.16,0.17
5500,189,2,144.0,34.0,0.08,0.26,0.29,0.0,0.04,0.0,0.02,0.02,0.02,0.02,0.26
5Lighters,162,1,142.0,38.0,0.0,0.35,0.01,0.07,0.0,0.0,0.0,0.0,0.31,0.0,0.27
5M177Y,188,2,15.0,13.0,0.0,0.11,0.0,0.37,0.06,0.0,0.0,0.0,0.07,0.07,0.31
5hiny,172,4,8.0,5.0,0.0,0.54,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.28
616thirteen,132,4,29.0,12.0,0.0,0.22,0.01,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.11
69dude,119,2,36.0,17.0,0.0,0.02,0.64,0.05,0.01,0.0,0.0,0.02,0.0,0.0,0.27
6park,150,4,63.0,17.0,0.01,0.37,0.35,0.0,0.02,0.0,0.0,0.0,0.11,0.02,0.13
80sfan,178,4,67.0,15.0,0.12,0.12,0.55,0.0,0.01,0.0,0.09,0.0,0.0,0.0,0.12
80sguy,148,3,101.0,33.0,0.02,0.1,0.18,0.0,0.25,0.0,0.01,0.01,0.01,0.02,0.41
8333696,168,1,91.0,40.0,0.01,0.1,0.33,0.0,0.14,0.0,0.01,0.0,0.0,0.01,0.41
8Chris8,141,2,56.0,27.0,0.02,0.19,0.08,0.0,0.07,0.0,0.02,0.0,0.09,0.05,0.48
8aldr1c0,117,10,73.0,28.0,0.16,0.19,0.15,0.1,0.03,0.0,0.03,0.03,0.05,0.0,0.25
8bitsboy,109,5,50.0,21.0,0.0,0.1,0.02,0.0,0.08,0.0,0.01,0.03,0.42,0.0,0.34
8lettersuk,103,9,77.0,25.0,0.01,0.17,0.33,0.0,0.06,0.0,0.03,0.05,0.0,0.0,0.36
95percentKIRA,175,10,41.0,10.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.04
96th,89,3,47.0,25.0,0.03,0.02,0.62,0.0,0.01,0.0,0.04,0.04,0.02,0.01,0.19
97dmcevoy,67,4,27.0,20.0,0.01,0.09,0.22,0.0,0.13,0.0,0.0,0.01,0.13,0.21,0.18
987poiuytrewq,157,5,43.0,24.0,0.0,0.01,0.1,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.63
A-W-A-X,136,1,11.0,10.0,0.0,0.2,0.0,0.0,0.09,0.0,0.0,0.0,0.28,0.15,0.28
AAEEBBDD,149,1,26.0,13.0,0.3,0.07,0.12,0.0,0.19,0.0,0.0,0.0,0.1,0.0,0.23
ABNPosh,331,4,44.0,13.0,0.0,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
ABadDayForJari,151,10,41.0,14.0,0.0,0.05,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.06
ABotoxCowboy,173,7,54.0,23.0,0.08,0.45,0.08,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.34
ACDC_,144,2,31.0,7.0,0.0,0.73,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.07
ACTUAL_DAD,135,9,21.0,12.0,0.05,0.43,0.01,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.28
ACrackedSmile,155,3,72.0,18.0,0.0,0.07,0.65,0.0,0.14,0.0,0.01,0.01,0.0,0.0,0.13
ADuddles,115,4,90.0,31.0,0.02,0.18,0.17,0.0,0.08,0.0,0.02,0.03,0.0,0.0,0.5
AF-TNowell,113,3,27.0,12.0,0.0,0.01,0.48,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.5
AF1987,91,1,10.0,7.0,0.01,0.54,0.16,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14
AFCMatt,147,2,70.0,29.0,0.01,0.39,0.05,0.0,0.11,0.0,0.01,0.0,0.05,0.08,0.29
AFool,114,2,80.0,25.0,0.01,0.52,0.05,0.19,0.0,0.0,0.02,0.0,0.01,0.0,0.2
AG-Spike,104,2,93.0,31.0,0.01,0.11,0.3,0.02,0.1,0.0,0.02,0.03,0.01,0.02,0.39
AGC13,168,1,20.0,8.0,0.0,0.33,0.05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.12
